title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,cluster
F1 2012,PS3,Racing,Codemasters,Codemasters Birmingham,7.9,1.01,0.12,0.05,0.65,0.18,2012-09-18,2018-03-08,4
Far Cry: Primal,XOne,Action-Adventure,Ubisoft,Ubisoft Montreal,7.8,1.0,0.51,0.0,0.41,0.09,2016-02-23,2018-04-03,3
Tom Clancy's Splinter Cell: Blacklist,X360,Action-Adventure,Ubisoft,Ubisoft Toronto,8.4,1.0,0.57,0.01,0.33,0.09,2013-08-20,2018-03-08,3
Rocksmith 2014,X360,Music,Ubisoft,Ubisoft San Francisco,8.4,0.99,0.73,0.0,0.16,0.1,2013-10-22,2018-03-08,2
Tom Clancy's Splinter Cell: Blacklist,PS3,Action-Adventure,Ubisoft,Ubisoft Toronto,8.3,0.98,0.34,0.06,0.44,0.15,2013-08-20,2018-03-08,3
Sniper Elite V2,PS3,Shooter,505 Games,Rebellion Developments,7.4,0.98,0.38,0.06,0.4,0.15,2012-05-02,2018-03-13,4
Fire Emblem: The Blazing Blade,GBA,Strategy,Nintendo,Intelligent Systems,8.8,0.97,0.49,0.29,0.18,0.01,2003-11-03,2021-07-23,2
Sea of Thieves,XOne,Action-Adventure,Microsoft Studios,Rare Ltd.,6.9,0.96,0.6,0.0,0.27,0.09,2018-03-20,2018-09-25,3
Madden NFL 25,PS4,Sports,EA Sports,EA Tiburon,7.4,0.96,0.64,0.0,0.15,0.17,2013-11-15,2018-01-06,1
Harvest Moon 3D: A New Beginning,3DS,Simulation,Natsume,Marvelous,8.2,0.95,0.41,0.31,0.18,0.06,2012-11-06,2018-01-07,2
NCAA Football 13,PS3,Sports,EA Sports,EA Tiburon,7.1,0.93,0.82,0.0,0.0,0.11,2012-07-10,2018-02-06,1
Fallout 76,XOne,Role-Playing,Bethesda Softworks,Bethesda Game Studios,5.1,0.93,0.59,0.0,0.26,0.09,2018-11-14,2018-11-02,0
Monster Hunter: World,XOne,Action,Capcom,Capcom,9.4,0.93,0.67,0.0,0.17,0.09,2018-01-26,2018-01-30,2
Killzone: Mercenary,PSV,Misc,Sony Computer Entertainment America,Guerrilla Games,7.4,0.92,0.2,0.04,0.47,0.2,2013-09-10,2018-01-03,4
NCAA Football 14,PS3,Sports,EA Sports,EA Tiburon,7.7,0.92,0.75,0.0,0.0,0.17,2013-07-09,2018-01-31,1
Crysis 3,X360,Shooter,Electronic Arts,Crytek,7.6,0.92,0.51,0.01,0.32,0.08,2013-02-19,2018-02-07,4
Overwatch,PC,Shooter,Blizzard Entertainment,Blizzard Entertainment,9.5,0.92,0.37,0.0,0.48,0.07,2016-05-24,2018-03-24,2
Assassin's Creed,PC,Adventure,Ubisoft,Ubisoft Montreal,7.6,0.91,0.01,0.0,0.84,0.06,2008-04-08,2018-11-23,4
Crysis 3,PS3,Shooter,Electronic Arts,Crytek,8.2,0.91,0.26,0.03,0.48,0.14,2013-02-19,2018-03-13,2
Final Fantasy X / X-2 HD Remaster,PS4,Role-Playing,Square Enix,Square Enix,9.3,0.9,0.34,0.07,0.36,0.14,2015-05-12,2019-03-22,2
